char,codepoint,strokes_text,strokes_min,strokes_max,source
辙,U+8F99,"15,16",15,16,"ucs-strokes.txt,v"
丁,U+4E01,2,2,2,"ucs-strokes.txt,v"
丂,U+4E02,2,2,2,"ucs-strokes.txt,v"
七,U+4E03,2,2,2,"ucs-strokes.txt,v"
丄,U+4E04,2,2,2,"ucs-strokes.txt,v"
丅,U+4E05,2,2,2,"ucs-strokes.txt,v"
丆,U+4E06,2,2,2,"ucs-strokes.txt,v"
万,U+4E07,3,3,3,"ucs-strokes.txt,v"
丈,U+4E08,3,3,3,"ucs-strokes.txt,v"
三,U+4E09,3,3,3,"ucs-strokes.txt,v"
下,U+4E0B,3,3,3,"ucs-strokes.txt,v"
丌,U+4E0C,3,3,3,"ucs-strokes.txt,v"
不,U+4E0D,4,4,4,"ucs-strokes.txt,v"
与,U+4E0E,3,3,3,"ucs-strokes.txt,v"
丏,U+4E0F,4,4,4,"ucs-strokes.txt,v"
丐,U+4E10,4,4,4,"ucs-strokes.txt,v"
丑,U+4E11,4,4,4,"ucs-strokes.txt,v"
丒,U+4E12,4,4,4,"ucs-strokes.txt,v"
专,U+4E13,4,4,4,"ucs-strokes.txt,v"
且,U+4E14,5,5,5,"ucs-strokes.txt,v"
丕,U+4E15,5,5,5,"ucs-strokes.txt,v"
世,U+4E16,5,5,5,"ucs-strokes.txt,v"
丗,U+4E17,5,5,5,"ucs-strokes.txt,v"
丘,U+4E18,5,5,5,"ucs-strokes.txt,v"
丙,U+4E19,5,5,5,"ucs-strokes.txt,v"
业,U+4E1A,5,5,5,"ucs-strokes.txt,v"
丛,U+4E1B,5,5,5,"ucs-strokes.txt,v"
东,U+4E1C,5,5,5,"ucs-strokes.txt,v"
丞,U+4E1E,6,6,6,"ucs-strokes.txt,v"
丟,U+4E1F,6,6,6,"ucs-strokes.txt,v"
丠,U+4E20,6,6,6,"ucs-strokes.txt,v"
両,U+4E21,6,6,6,"ucs-strokes.txt,v"
丢,U+4E22,6,6,6,"ucs-strokes.txt,v"
丣,U+4E23,7,7,7,"ucs-strokes.txt,v"
两,U+4E24,7,7,7,"ucs-strokes.txt,v"
严,U+4E25,7,7,7,"ucs-strokes.txt,v"
並,U+4E26,8,8,8,"ucs-strokes.txt,v"
丧,U+4E27,8,8,8,"ucs-strokes.txt,v"
丨,U+4E28,1,1,1,"ucs-strokes.txt,v"
丩,U+4E29,2,2,2,"ucs-strokes.txt,v"
个,U+4E2A,3,3,3,"ucs-strokes.txt,v"
丫,U+4E2B,3,3,3,"ucs-strokes.txt,v"
丬,U+4E2C,3,3,3,"ucs-strokes.txt,v"
中,U+4E2D,4,4,4,"ucs-strokes.txt,v"
丮,U+4E2E,4,4,4,"ucs-strokes.txt,v"
丯,U+4E2F,4,4,4,"ucs-strokes.txt,v"
丱,U+4E31,5,5,5,"ucs-strokes.txt,v"
串,U+4E32,7,7,7,"ucs-strokes.txt,v"
丳,U+4E33,8,8,8,"ucs-strokes.txt,v"
临,U+4E34,9,9,9,"ucs-strokes.txt,v"
丵,U+4E35,10,10,10,"ucs-strokes.txt,v"
丶,U+4E36,1,1,1,"ucs-strokes.txt,v"
丷,U+4E37,2,2,2,"ucs-strokes.txt,v"
丸,U+4E38,3,3,3,"ucs-strokes.txt,v"
丹,U+4E39,4,4,4,"ucs-strokes.txt,v"
为,U+4E3A,4,4,4,"ucs-strokes.txt,v"
主,U+4E3B,5,5,5,"ucs-strokes.txt,v"
